"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2024*"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Woudenberg";"5,7";"100";"2,7";"478,1";"296,0"
"Zaanstad";"72,3";"100";"18,4";"253,9";"115,3"
"Zaltbommel";"12,6";"100";"4,8";"380,7";"213,6"
"Zandvoort";"8,7";"100";"4,3";"496,1";"191,7"
"Zeewolde";"10,3";"100";"4,2";"405,6";"199,6"
"Zeist";"30,2";"100";"17,7";"586,9";"173,8"
"Zevenaar";"20,5";"100";"5,2";"255,1";"149,6"
"Zoetermeer";"57,5";"100";"13,8";"239,2";"124,8"
"Zoeterwoude";"4,1";"100";"1,9";"471,6";"312,0"
"Zuidplas";"19,3";"100";"9,1";"473,1";"250,9"
"Zundert";"9,9";"100";"5,3";"536,2";"336,8"
"Zutphen";"23,0";"100";"5,8";"251,8";"136,1"
"Zwartewaterland";"9,0";"100";"3,9";"438,2";"189,1"
"Zwijndrecht";"20,4";"100";"5,7";"281,2";"121,6"
"Zwolle";"62,6";"100";"16,3";"259,9";"97,3"
"Gemeenten; niet in te delen";"0,0";".";".";".";"."
"Bron: CBS"
