"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2022"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Terneuzen";"25,8";"100";"6,5";"253,8";"137,1"
"Terschelling";"2,6";"100";"1,1";"414,1";"222,6"
"Texel";"6,5";"100";"3,2";"491,0";"294,4"
"Teylingen";"16,2";"100";"9,2";"569,7";"274,7"
"Tholen";"10,8";"100";"3,1";"284,5";"147,0"
"Tiel";"18,9";"100";"4,2";"222,9";"91,1"
"Tilburg";"109,8";"100";"21,5";"195,8";"47,9"
"Tubbergen";"8,3";"100";"4,3";"522,7";"341,4"
"Twenterand";"13,3";"100";"4,1";"309,9";"185,1"
"Tynaarlo";"14,5";"100";"6,1";"423,9";"274,2"
"Tytsjerksteradiel";"13,7";"100";"3,9";"288,9";"189,7"
"Uitgeest";"5,7";"100";"2,2";"385,9";"289,6"
"Uithoorn";"13,4";"100";"4,5";"332,4";"205,8"
"Urk";"6,6";"100";"2,5";"380,7";"229,4"
"Utrecht (gemeente)";"179,7";"100";"47,3";"263,2";"32,0"
"Utrechtse Heuvelrug";"21,6";"100";"13,5";"627,2";"296,3"
"Vaals";"4,9";"100";"1,1";"228,2";"86,6"
"Valkenburg aan de Geul";"7,8";"100";"2,5";"317,3";"189,7"
"Valkenswaard";"14,6";"100";"4,9";"335,5";"180,9"
"Veendam";"12,7";"100";"2,1";"169,3";"78,2"
"Veenendaal";"28,6";"100";"7,9";"276,4";"155,6"
"Veere";"9,5";"100";"5,2";"542,5";"317,6"
"Veldhoven";"20,3";"100";"8,1";"396,4";"259,1"
"Velsen";"31,2";"100";"10,3";"330,4";"180,5"
"Venlo";"48,0";"100";"10,8";"225,9";"102,2"
"Venray";"19,4";"100";"6,0";"308,1";"159,7"
"Vijfheerenlanden";"24,1";"100";"8,5";"351,2";"201,3"
"Vlaardingen";"34,9";"100";"6,2";"178,0";"56,7"
"Vlieland";"0,7";"100";"0,3";"385,8";"21,8"
"Vlissingen";"22,4";"100";"3,9";"175,7";"69,9"
"Voerendaal";"5,6";"100";"1,9";"329,7";"224,0"
"Voorne aan Zee";"32,9";"100";"11,6";"352,4";"171,8"
"Voorschoten";"11,2";"100";"6,2";"552,6";"311,7"
"Voorst";"10,4";"100";"4,9";"469,9";"300,0"
"Vught";"13,5";"100";"8,1";"598,9";"284,1"
"Waadhoeke";"20,5";"100";"4,9";"238,2";"126,6"
"Waalre";"7,7";"100";"6,7";"878,6";"347,4"
"Waalwijk";"22,4";"100";"6,5";"290,2";"144,5"
"Waddinxveen";"12,9";"100";"4,1";"317,8";"186,8"
"Wageningen";"20,9";"100";"5,1";"244,0";"21,2"
"Wassenaar";"11,7";"100";"14,8";"1263,4";"336,9"
"Waterland";"7,6";"100";"4,3";"573,5";"323,0"
"Weert";"23,1";"100";"7,0";"300,5";"167,6"
"West Betuwe";"20,9";"100";"9,3";"443,0";"252,5"
"West Maas en Waal";"8,5";"100";"3,5";"408,1";"251,8"
"Westerkwartier";"26,8";"100";"8,6";"321,4";"192,9"
"Westerveld";"8,9";"100";"3,6";"408,3";"258,5"
"Westervoort";"6,7";"100";"1,4";"201,6";"117,6"
"Westerwolde";"11,2";"100";"3,2";"288,9";"176,3"
"Westland";"47,3";"100";"22,9";"483,9";"256,7"
"Weststellingwerf";"11,5";"100";"3,4";"292,9";"166,0"
"Wierden";"9,7";"100";"4,6";"474,8";"269,9"
"Wijchen";"17,9";"100";"6,2";"349,0";"212,7"
"Wijdemeren";"10,7";"100";"7,2";"672,9";"347,8"
"Wijk bij Duurstede";"10,3";"100";"4,1";"395,5";"241,4"
"Winterswijk";"12,9";"100";"3,9";"301,9";"160,0"
"Woensdrecht";"9,7";"100";"3,2";"329,6";"203,8"
"Woerden";"22,3";"100";"10,4";"468,3";"252,0"
"De Wolden";"10,3";"100";"4,4";"432,9";"283,9"
"Wormerland";"7,2";"100";"2,9";"406,0";"236,0"
"Woudenberg";"5,3";"100";"2,4";"449,2";"287,7"
"Zaanstad";"70,3";"100";"16,7";"237,6";"121,7"
"Zaltbommel";"12,2";"100";"4,5";"368,3";"210,1"
"Zandvoort";"8,5";"100";"4,5";"524,0";"226,2"
"Zeewolde";"10,0";"100";"3,4";"342,5";"168,6"
"Zeist";"29,5";"100";"16,6";"563,9";"174,0"
"Zevenaar";"20,3";"100";"4,9";"243,3";"139,2"
"Zoetermeer";"56,2";"100";"12,5";"223,1";"124,2"
"Zoeterwoude";"3,8";"100";"1,8";"476,3";"340,0"
"Zuidplas";"18,5";"100";"7,9";"428,1";"230,0"
"Zundert";"9,7";"100";"4,8";"499,2";"326,3"
"Zutphen";"22,5";"100";"5,0";"222,2";"113,7"
"Zwartewaterland";"8,7";"100";"3,9";"446,8";"181,8"
"Zwijndrecht";"20,3";"100";"5,3";"261,1";"114,6"
"Zwolle";"61,1";"100";"15,1";"246,8";"103,8"
"Gemeenten; niet in te delen";"0,0";".";".";".";"."
"Bron: CBS"
